S,Fe,Zr,sevenhundred
0.4921,1.0155,0.0033,19.35932541
0.6458,1.8486,0.0033,15.43829918
1.0101,1.3305,0.0058,18.48860741
0.3359,0.6045,0.0022,24.88296127
0.4055,0.3319,0.0028,33.74320984
0.4772,0.4436,0.0032,33.65656281
0.3455,0.2442,0.003,53.07164764
0.3444,0.2601,0.0021,54.38651276
0.3494,0.269,0.0023,43.6782074
0.3478,0.2317,0.0018,62.58525085
0.3744,0.3778,0.0022,48.41645813
0.3476,0.279,0.0023,41.28516388
0.3518,0.2217,0.0019,31.04448318
0.3498,0.2345,0.0023,33.04789352
0.3743,0.3924,0.0023,19.981884
0.4192,0.4738,0.0016,19.26139832
0.387,0.374,0.0022,38.65367126
0.3622,0.3426,0.0023,50.78931427
0.4788,0.8418,0.0032,9.322551727
0.417,0.6301,0.0033,10.69611454
0.3951,0.42,0.0037,10.66400146
0.5551,0.8173,0.0044,12.87337112
0.4136,0.4201,0.0037,9.817345619
0.5146,0.7021,0.0052,14.17987633
0.5208,0.9212,0.0044,11.83862591
0.4074,0.4932,0.0037,11.00017834
0.4591,0.7279,0.0037,15.619771
0.4034,0.6243,0.0037,10.02100754
0.5226,0.7401,0.0033,8.03387928
0.4492,0.5791,0.0037,8.395874023
0.4404,0.5081,0.0032,8.515522003
0.4751,0.4255,0.0022,23.40682602
0.4606,0.3433,0.0024,25.51469803
0.5577,0.649,0.0043,28.25923538
0.5693,0.5719,0.0029,18.58437538
0.5194,0.5848,0.0039,21.7212677
0.587,1.4967,0.0047,11.83468056
0.5257,0.3424,0.003,15.45302677
0.4916,0.7296,0.0031,7.713775158
0.4378,0.5394,0.0035,37.26321793
0.5674,1.1908,0.0036,7.149755955
0.4698,0.4035,0.0032,28.70269394
0.3696,0.2429,0.0025,36.57801056
0.4814,0.5079,0.0036,24.32681274
0.4234,0.2433,0.0026,35.42222214
0.5869,1.3898,0.0062,11.93074703
0.5122,0.4416,0.0034,23.46607971
0.4995,0.4372,0.0027,22.80610085
0.5734,1.5602,0.0058,22.26002884
0.4595,0.4435,0.0033,26.47711372
0.3759,0.2519,0.0023,34.2084198
0.5825,0.5447,0.0033,19.51628876
0.4242,0.62,0.0031,27.4300251
0.4116,0.4286,0.0027,29.43121529
0.5031,0.3032,0.0017,36.4679451
0.4339,0.2344,0.0021,46.59077072
0.4703,0.4533,0.0033,20.12088966
0.3496,0.1879,0.0019,25.55520821
0.4359,0.454,0.0051,26.44871521
0.4071,0.2396,0.0019,34.86843491
0.3862,0.2396,0.0027,43.57112503
